title,distance,id_x,address.locality,address.postal-code,address.street-address,location.latitude_x,location.longitude_x,key,mercator_x,id_y,name,address,dock_bikes,free_bases,location.longitude_y,location.latitude_y,mercator_y,point_of_interest_google_maps,BiciMad_google_maps,url_google_maps
Colegio Público Manuel Sáinz de Vicuña,388.85657744711807,5224,MADRID,28030,CALLE CAMINO DE LOS VINATEROS 104,40.4094369606419,-3.6499859326517705,1,POINT (4498357.945701545 -406589.6745327748),228,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,19,4,-3.65122,40.40617,POINT (4497994.269306446 -406727.329599779),Colegio+Público+Manuel+Sáinz+de+Vicuña,Plaza+del+Encuentro,https://www.google.com/maps/dir/Colegio+Público+Manuel+Sáinz+de+Vicuña/Bicimad+Plaza+del+Encuentro
Colegio Público Manuel de Falla,4789.95730501057,5222,MADRID,28021,CALLE JOSE ORTU&amp;Ntilde;O PONCE 2,40.34625498819677,-3.705508952749143,1,POINT (4491324.560701638 -412783.224059324),221,Glorieta de Cádiz,Calle Antonio López nº 129,12,12,-3.70017,40.38895,POINT (4496077.347674986 -412187.6512511889),Colegio+Público+Manuel+de+Falla,Glorieta+de+Cádiz,https://www.google.com/maps/dir/Colegio+Público+Manuel+de+Falla/Bicimad+Glorieta+de+Cádiz
Colegio Público Marcelo Usera,209.27037082254984,5226,MADRID,28026,CALLE PERALES DE TAJUÑA 1,40.3871562007155,-3.699608733660164,1,POINT (4495877.662852051 -412125.0408719106),221,Glorieta de Cádiz,Calle Antonio López nº 129,12,12,-3.70017,40.38895,POINT (4496077.347674986 -412187.6512511889),Colegio+Público+Marcelo+Usera,Glorieta+de+Cádiz,https://www.google.com/maps/dir/Colegio+Público+Marcelo+Usera/Bicimad+Glorieta+de+Cádiz
Colegio Público Margaret Thatcher,7173.433061172259,7048498,MADRID,28042,GLORIETA PLAYA DE SAN LORENZO 4,40.47047719759706,-3.5904597549954724,1,POINT (4505152.913797295 -399950.0010049861),238,Carlota O’Neill,Calle Carlota O'Neill nº 32,14,10,-3.648958444298144,40.44370542379883,POINT (4502172.693570442 -406475.0626355441),Colegio+Público+Margaret+Thatcher,Carlota+O’Neill,https://www.google.com/maps/dir/Colegio+Público+Margaret+Thatcher/Bicimad+Carlota+O’Neill
Colegio Público Mariano José de Larra,3573.026414810027,5228,MADRID,28022,CALLE LONGARES 11,40.43061532814977,-3.6089740337850564,1,POINT (4500715.510788354 -402015.075413231),223,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,13,10,-3.640994,40.429706,POINT (4500614.284841758 -405586.6676448087),Colegio+Público+Mariano+José+de+Larra,Gutierre+de+Cetina,https://www.google.com/maps/dir/Colegio+Público+Mariano+José+de+Larra/Bicimad+Gutierre+de+Cetina
Colegio Público Marqués de Marcenado,473.37462691558505,5230,MADRID,28005,CALLE LINNEO 31,40.410370492110424,-3.72048608485198,1,POINT (4498461.86594926 -414453.9777731209),244,Paseo Imperial,Paseo Imperial nº 20,11,12,-3.7172213778842007,40.40765396169372,POINT (4498159.463166549 -414089.7853865778),Colegio+Público+Marqués+de+Marcenado,Paseo+Imperial,https://www.google.com/maps/dir/Colegio+Público+Marqués+de+Marcenado/Bicimad+Paseo+Imperial
Colegio Público Marqués de Suanzes,2362.5209106374914,5231,MADRID,28027,AVENIDA VEINTICINCO DE SEPTIEMBRE 1,40.44309078731439,-3.6245571705517694,1,POINT (4502104.272549972 -403753.2441578392),223,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,13,10,-3.640994,40.429706,POINT (4500614.284841758 -405586.6676448087),Colegio+Público+Marqués+de+Suanzes,Gutierre+de+Cetina,https://www.google.com/maps/dir/Colegio+Público+Marqués+de+Suanzes/Bicimad+Gutierre+de+Cetina
Colegio Público Martínez Montañés,187.87579514545212,5232,MADRID,28030,CALLE HACIENDA DE PAVONES 223,40.40191354205018,-3.6339103602187524,1,POINT (4497520.442574889 -404796.528713353),229,Pavones,Calle Hacienda de Pavones nº 342,11,12,-3.634587,40.400368,POINT (4497348.393620864 -404872.003688147),Colegio+Público+Martínez+Montañés,Pavones,https://www.google.com/maps/dir/Colegio+Público+Martínez+Montañés/Bicimad+Pavones
Colegio Público María Moliner,2580.149918296601,5209,MADRID,28037,CALLE ARCOS DE JALON 34,40.42217402076163,-3.619118046203692,1,POINT (4499775.828748276 -403146.5518729263),223,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,13,10,-3.640994,40.429706,POINT (4500614.284841758 -405586.6676448087),Colegio+Público+María+Moliner,Gutierre+de+Cetina,https://www.google.com/maps/dir/Colegio+Público+María+Moliner/Bicimad+Gutierre+de+Cetina
Colegio Público María de Villota,2953.753781684797,11121459,MADRID,28031,CALLE ENRIQUE GARCIA ALVAREZ 11,40.38235733881085,-3.6151408497888227,1,POINT (4495343.455988438 -402702.9286565032),229,Pavones,Calle Hacienda de Pavones nº 342,11,12,-3.634587,40.400368,POINT (4497348.393620864 -404872.003688147),Colegio+Público+María+de+Villota,Pavones,https://www.google.com/maps/dir/Colegio+Público+María+de+Villota/Bicimad+Pavones
Colegio Público Menéndez Pelayo,256.1708782423962,5235,MADRID,28045,CALLE MENDEZ ALVARO 16,40.40557510310644,-3.691396695437019,1,POINT (4497928.045687181 -411208.9761665377),85,Atocha B,Paseo de la Infanta Isabel nº 3,27,0,-3.6901234,40.4074902,POINT (4498141.233298192 -411066.93898348),Colegio+Público+Menéndez+Pelayo,Atocha+B,https://www.google.com/maps/dir/Colegio+Público+Menéndez+Pelayo/Bicimad+Atocha+B
Colegio Público Menéndez Pidal,733.0427178036704,5236,MADRID,28030,CALLE ENCOMIENDA DE PALACIOS 85,40.400540243883796,-3.6411565174428118,1,POINT (4497367.567722301 -405604.7955958255),229,Pavones,Calle Hacienda de Pavones nº 342,11,12,-3.634587,40.400368,POINT (4497348.393620864 -404872.003688147),Colegio+Público+Menéndez+Pidal,Pavones,https://www.google.com/maps/dir/Colegio+Público+Menéndez+Pidal/Bicimad+Pavones
Colegio Público Meseta de Orcasitas,2217.490782443814,5237,MADRID,28041,CALLE CAMINO VIEJO DE VILLAVERDE 1,40.37194535398157,-3.7105237988872513,1,POINT (4494184.399139095 -413342.6452817754),221,Glorieta de Cádiz,Calle Antonio López nº 129,12,12,-3.70017,40.38895,POINT (4496077.347674986 -412187.6512511889),Colegio+Público+Meseta+de+Orcasitas,Glorieta+de+Cádiz,https://www.google.com/maps/dir/Colegio+Público+Meseta+de+Orcasitas/Bicimad+Glorieta+de+Cádiz
Colegio Público Mesonero Romanos,1321.564131642511,5238,MADRID,28038,CALLE PONT DE MOLINS 31,40.39368443066321,-3.644378931194483,1,POINT (4496604.382085611 -405964.2392806156),229,Pavones,Calle Hacienda de Pavones nº 342,11,12,-3.634587,40.400368,POINT (4497348.393620864 -404872.003688147),Colegio+Público+Mesonero+Romanos,Pavones,https://www.google.com/maps/dir/Colegio+Público+Mesonero+Romanos/Bicimad+Pavones
